# t, hp, hx
1.003767797599999963e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.006144277100000026e-02 -9.524322407299999713e-04 1.395932618700000100e-09
1.008519035100000072e-02 -1.957606968400000137e-03 2.598580578299999947e-09
1.010893801999999952e-02 -3.261654705200000073e-03 3.763575407000000348e-09
1.013267845600000078e-02 -4.226745542199999810e-03 5.343016028299999827e-09
1.015643799700000072e-02 -4.440312837900000330e-03 7.626637286400000544e-09
1.018020609200000030e-02 -4.206385467999999850e-03 9.696508248099999540e-09
1.020396441500000077e-02 -3.782335294799999900e-03 1.100222760600000051e-08
1.022773667099999978e-02 -3.269035276299999803e-03 1.041604689599999989e-08
1.025150951600000034e-02 -2.700920428699999862e-03 8.225805580300000115e-09
1.027527802300000001e-02 -2.142887592500000021e-03 6.503453637500000038e-09
1.029905910000000063e-02 -1.889831878300000023e-03 5.744032164899999750e-09
1.032284150400000072e-02 -2.135959972700000181e-03 5.391010991999999930e-09
1.034664411099999945e-02 -2.807721468200000039e-03 4.250445898999999722e-09
1.037267905900000030e-02 -3.590760902399999909e-03 1.934712251900000082e-09
1.039790288499999917e-02 -4.141253414000000202e-03 -2.690441370899999978e-09
1.042338714599999952e-02 -4.235123563600000363e-03 -7.644833482599999219e-09
1.044740088800000070e-02 -3.937240464300000194e-03 -9.272237776299999883e-09
1.047120869400000077e-02 -3.387977214299999970e-03 -1.101240874599999944e-08
1.049497937399999914e-02 -2.788822013899999903e-03 -1.715621851799999945e-08
1.051873820499999931e-02 -2.242819032099999804e-03 -2.598432204699999842e-08
1.054249912799999980e-02 -1.911138137200000002e-03 -3.312775979299999741e-08
1.056626730700000079e-02 -1.896573054900000050e-03 -3.448832040500000281e-08
1.059003873099999965e-02 -2.231404509999999897e-03 -3.400239500100000100e-08
1.061382896400000012e-02 -2.849377204800000035e-03 -3.369307199000000096e-08
1.063761625000000065e-02 -3.522967371600000015e-03 -2.949647709900000128e-08
1.066140538199999988e-02 -3.978190981200000094e-03 -2.119406046100000128e-08
1.068520446199999925e-02 -4.055365491199999957e-03 -1.013143834699999935e-08
1.070900319800000000e-02 -3.758857227900000084e-03 2.807315982699999887e-09
1.073279382399999933e-02 -3.238783189300000007e-03 1.446946545000000070e-08
1.075658524399999982e-02 -2.697763734299999869e-03 2.102135997599999878e-08
1.078038338200000036e-02 -2.242935542300000199e-03 2.072972427699999902e-08
1.080418500499999955e-02 -1.971968050999999954e-03 1.415307285899999999e-08
1.082798026500000031e-02 -2.028487594499999835e-03 6.675664187800000183e-09
1.085178164300000005e-02 -2.418695008199999927e-03 5.377606353300000325e-09
1.087558927099999996e-02 -2.986194563400000005e-03 1.065324281299999943e-08
1.089938604800000030e-02 -3.526711531400000040e-03 1.885698167600000022e-08
1.092318341499999915e-02 -3.832826045600000019e-03 3.020206965899999763e-08
1.094698367199999946e-02 -3.812769351900000166e-03 4.117790610399999866e-08
1.097078460599999923e-02 -3.491926650899999929e-03 4.440831047399999717e-08
1.099458270100000037e-02 -2.996953805099999806e-03 3.920708116300000047e-08
1.101789194100000029e-02 -2.510128536200000125e-03 2.878893663500000047e-08
1.104169353899999914e-02 -2.163093166700000205e-03 1.649853864899999857e-08
1.106549464200000041e-02 -2.039729566799999838e-03 6.027243568699999995e-09
1.108929230600000024e-02 -2.249366029900000050e-03 -3.184553267400000230e-11
1.111308911100000046e-02 -2.714939876099999819e-03 2.954842766100000098e-10
1.113688224699999930e-02 -3.280201375000000186e-03 1.035050295800000025e-08
1.116069503800000071e-02 -3.729917339499999856e-03 2.063545473099999983e-08
1.118449829400000074e-02 -3.869037204799999959e-03 2.254891774000000020e-08
1.120829679800000069e-02 -3.696944065500000140e-03 1.748203279600000057e-08
1.123209266200000077e-02 -3.273338923500000198e-03 5.673749666200000254e-09
1.125588797399999959e-02 -2.766679645899999904e-03 -8.002220767300000608e-09
1.127968242899999966e-02 -2.327403231399999880e-03 -1.898241379599999979e-08
1.130347658099999965e-02 -2.011291527199999922e-03 -2.488278573199999953e-08
1.132727476199999958e-02 -1.936055677199999964e-03 -2.468523058600000096e-08
1.135106894900000073e-02 -2.195362984400000064e-03 -2.106157028500000002e-08
1.137486148699999935e-02 -2.697789751600000036e-03 -1.638435584099999844e-08
